node1ID node2ID branchID x1 y1 z1 x2 y2 z2 radius time age type organ parent_node_id 
0 1 1 0.0000 0.0000 -3.0000 0.0280 -0.0084 -3.2483 0.2000 0.0455 20.0000 1 2 1  
1 2 1 0.0280 -0.0084 -3.2483 0.0470 -0.0702 -3.4898 0.2000 0.0910 20.0000 1 2 1  
2 3 1 0.0470 -0.0702 -3.4898 0.0749 -0.1549 -3.7233 0.2000 0.1366 20.0000 1 2 1  
3 4 1 0.0749 -0.1549 -3.7233 0.1096 -0.2349 -3.9576 0.2000 0.1823 20.0000 1 2 1  
4 5 1 0.1096 -0.2349 -3.9576 0.1446 -0.3008 -4.1962 0.2000 0.2280 20.0000 1 2 1  
5 6 1 0.1446 -0.3008 -4.1962 0.0924 -0.3582 -4.4339 0.2000 0.2738 20.0000 1 2 1  
6 7 1 0.0924 -0.3582 -4.4339 0.0670 -0.3881 -4.5787 0.2000 0.3013 20.0000 1 2 1  
7 8 1 0.0670 -0.3881 -4.5787 0.0417 -0.4463 -4.8205 0.2000 0.3471 20.0000 1 2 1  
8 9 1 0.0417 -0.4463 -4.8205 0.0182 -0.5205 -5.0580 0.2000 0.3931 20.0000 1 2 1  
9 10 1 0.0182 -0.5205 -5.0580 0.0059 -0.5741 -5.1976 0.2000 0.4206 20.0000 1 2 1  
10 11 1 0.0059 -0.5741 -5.1976 0.0192 -0.6213 -5.4427 0.2000 0.4667 20.0000 1 2 1  
11 12 1 0.0192 -0.6213 -5.4427 0.0895 -0.7046 -5.6677 0.2000 0.5127 20.0000 1 2 1  
12 13 1 0.0895 -0.7046 -5.6677 0.1316 -0.7481 -5.8050 0.2000 0.5404 20.0000 1 2 1  
13 14 1 0.1316 -0.7481 -5.8050 0.1818 -0.8299 -6.0358 0.2000 0.5866 20.0000 1 2 1  
4 390 17 0.1096 -0.2349 -3.9576 -0.1001 -0.3137 -4.0684 0.0400 0.6151 19.5103 2 2 17  
14 15 1 0.1818 -0.8299 -6.0358 0.2391 -0.9028 -6.2680 0.2000 0.6328 20.0000 1 2 1  
15 16 1 0.2391 -0.9028 -6.2680 0.2820 -0.9323 -6.4087 0.2000 0.6606 20.0000 1 2 1  
16 17 1 0.2820 -0.9323 -6.4087 0.3507 -0.9855 -6.6431 0.2000 0.7069 20.0000 1 2 1  
7 1021 51 0.0670 -0.3881 -4.5787 0.2778 -0.4398 -4.7027 0.0400 0.7351 19.3903 2 2 51  
390 391 17 -0.1001 -0.3137 -4.0684 -0.3187 -0.4034 -4.1501 0.0400 0.7413 19.5103 2 2 17  
17 18 1 0.3507 -0.9855 -6.6431 0.4197 -1.0552 -6.8730 0.2000 0.7533 20.0000 1 2 1  
18 19 1 0.4197 -1.0552 -6.8730 0.4382 -1.0776 -7.0202 0.2000 0.7812 20.0000 1 2 1  
19 20 1 0.4382 -1.0776 -7.0202 0.4832 -1.1062 -7.2645 0.2000 0.8277 20.0000 1 2 1  
10 1650 85 0.0059 -0.5741 -5.1976 0.2055 -0.5073 -5.3325 0.0400 0.8555 19.2699 2 2 85  
1021 1022 51 0.2778 -0.4398 -4.7027 0.5088 -0.4885 -4.7852 0.0400 0.8613 19.3903 2 2 51  
391 392 17 -0.3187 -0.4034 -4.1501 -0.5375 -0.4867 -4.2379 0.0400 0.8683 19.5103 2 2 17  
20 21 1 0.4832 -1.1062 -7.2645 0.5432 -1.0938 -7.5068 0.2000 0.8742 20.0000 1 2 1  
21 22 1 0.5432 -1.0938 -7.5068 0.5650 -1.0829 -7.6548 0.2000 0.9022 20.0000 1 2 1  
22 23 1 0.5650 -1.0829 -7.6548 0.5895 -1.0534 -7.9019 0.2000 0.9488 20.0000 1 2 1  
13 2275 118 0.1316 -0.7481 -5.8050 -0.0251 -0.9225 -5.8917 0.0400 0.9763 19.1491 2 2 118  
1650 1651 85 0.2055 -0.5073 -5.3325 0.4065 -0.4561 -5.4720 0.0400 0.9817 19.2699 2 2 85  
1022 1023 51 0.5088 -0.4885 -4.7852 0.7368 -0.5405 -4.8735 0.0400 0.9883 19.3903 2 2 51  
23 24 1 0.5895 -1.0534 -7.9019 0.5635 -1.0056 -8.1459 0.2000 0.9955 20.0000 1 2 1  
392 393 17 -0.5375 -0.4867 -4.2379 -0.7330 -0.5859 -4.3580 0.0400 0.9961 19.5103 2 2 17  
24 25 1 0.5635 -1.0056 -8.1459 0.5492 -0.9987 -8.2950 0.2000 1.0236 20.0000 1 2 1  
25 26 1 0.5492 -0.9987 -8.2950 0.5012 -0.9920 -8.5403 0.2000 1.0704 20.0000 1 2 1  
16 2897 151 0.2820 -0.9323 -6.4087 0.1507 -0.8135 -6.5852 0.0400 1.0975 19.0279 2 2 151  
2275 2276 118 -0.0251 -0.9225 -5.8917 -0.1266 -1.1263 -5.9950 0.0400 1.1025 19.1491 2 2 118  
1651 1652 85 0.4065 -0.4561 -5.4720 0.5892 -0.4074 -5.6356 0.0400 1.1087 19.2699 2 2 85  
